"Timestamp","Language ","Role","Department:","Years of Experience (for Faculty Members):","How do you currently seek academic support? (Select all that apply)","How satisfied are you with the current academic support available?","What are the common issues you face when seeking academic support?","Which features do you think are most important for an academic support chatbot? (Rate each feature from 1 to 5, where 1 is not important and 5 is very important)","How often do you think you would use an academic support chatbot?","What type of responses do you expect from the chatbot? (Select all that apply)","How important is data privacy to you when using an academic support chatbot?","What concerns do you have about using an academic support chatbot? (Select all that apply)","Additional Features: (Paragraph)","Other Comments: (Paragraph)","الدور:","القسم:","سنوات الخبرة (لأعضاء هيئة التدريس):","كيف تحصل على الدعم الأكاديمي حاليًا؟ (اختر جميع ما ينطبق)","ما مدى رضاك عن الدعم الأكاديمي الحالي المتاح؟","ما هي المشاكل الشائعة التي تواجهها عند طلب الدعم الأكاديمي؟","ما هي الميزات التي تعتقد أنها الأكثر أهمية لروبوت الدعم الأكاديمي؟ (قيم كل ميزة من 1 إلى 5، حيث 1 غير مهم و 5 مهم جدًا)","كم مرة تعتقد أنك ستستخدم روبوت الدعم الأكاديمي؟","ما نوع الاستجابات التي تتوقعها من الروبوت الذكي؟ (اختر جميع ما ينطبق)","ما مدى أهمية الخصوصية بالنسبة لك عند استخدام روبوت الدعم الأكاديمي؟","ما هي مخاوفك بشأن استخدام روبوت الدعم الأكاديمي؟ (اختر جميع ما ينطبق)
","ما الميزات الإضافية التي تود رؤيتها في روبوت الدعم الأكاديمي؟","أي تعليقات أو اقتراحات أخرى لتحسين الدعم الأكاديمي في جامعتنا؟"
"2024/06/03 5:58:25 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","علم حاسوب","","ساعات الدوام الشخصي","محايد","نقص الموارد","تقديم نصائح واستراتيجيات دراسية","شهريًا","استجابات نصية;مساعدات بصرية (رسوم بيانية، مخططات)","مهم جدًا","دقة المعلومات;الموثوقية","",""
"2024/06/03 6:01:06 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","امن سبراني","","المنتديات عبر الإنترنت","محايد","نقص الموارد","توفير الموارد الأكاديمية","يوميًا","إرشادات خطوة بخطوة","مهم جدًا","الخصوصية البيانات","",""
"2024/06/03 6:04:20 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","امن سبراني","","ساعات الدوام الشخصي;البريد الإلكتروني;المنتديات عبر الإنترنت","محايد","وقت استجابة طويل","توفير الموارد الأكاديمية","أسبوعيًا","استجابات نصية;مساعدات بصرية (رسوم بيانية، مخططات);أخرى (يرجى التحديد)","مهم جدًا","دقة المعلومات;الموثوقية","",""
"2024/06/03 6:09:49 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","هندسة برمجيات","0-2 سنوات","المنتديات عبر الإنترنت;دعم من طلاب","راضٍ","وقت استجابة طويل","تقديم نصائح واستراتيجيات دراسية","شهريًا","استجابات نصية;مساعدات بصرية (رسوم بيانية، مخططات);إرشادات خطوة بخطوة","مهم جدًا","دقة المعلومات;الموثوقية","",""
"2024/06/03 6:27:38 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","علم حاسوب","","المنتديات عبر الإنترنت;دعم من طلاب","محايد","عدم توفر الموظفين","جدولة المواعيد مع أعضاء هيئة التدريس","أسبوعيًا","استجابات نصية;روابط للموارد;مساعدات بصرية (رسوم بيانية، مخططات);أخرى (يرجى التحديد)","مهم جدًا","دقة المعلومات;الموثوقية","",""
"2024/06/03 7:23:01 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","علم حاسوب","","دعم من طلاب","راضٍ جدًا","وقت استجابة طويل","تقديم نصائح واستراتيجيات دراسية","شهريًا","إرشادات خطوة بخطوة","مهم","سهولة الاستخدام","",""
"2024/06/03 7:24:19 PM GMT+3","English","Student","Computer Scinece","","In-person office hours;Peer support","Neutral","Unavailability of staff;Lack of resources","Providing academic resources","Weekly","Text-based responses;Links to resources;Visual aids (diagrams, charts);Step-by-step guides","Neutral","Accuracy of information;Usability;Reliability","","","طالب","علم حاسوب","","ساعات الدوام الشخصي;دعم من طلاب","محايد","عدم توفر الموظفين","توفير الموارد الأكاديمية","أسبوعيًا","استجابات نصية;روابط للموارد;مساعدات بصرية (رسوم بيانية، مخططات);إرشادات خطوة بخطوة","محايد","دقة المعلومات;سهولة الاستخدام;الموثوقية","",""
"2024/06/03 7:28:48 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","ذكاء اصطناعي","0-2 سنوات","البريد الإلكتروني","محايد","عدم توفر الموظفين","توفير الموارد الأكاديمية","أسبوعيًا","استجابات نصية;روابط للموارد;مساعدات بصرية (رسوم بيانية، مخططات);إرشادات خطوة بخطوة;أخرى (يرجى التحديد)","محايد","دقة المعلومات","يتحرك","شكرا"
"2024/06/04 12:01:07 AM GMT+3","Arabic","","","","","","","","","","","","","","طالب","ذكاء اصطناعي","","ساعات الدوام الشخصي;البريد الإلكتروني;المنتديات عبر الإنترنت;دعم من طلاب","راضٍ","وقت استجابة طويل","جدولة المواعيد مع أعضاء هيئة التدريس","يوميًا","استجابات نصية;مساعدات بصرية (رسوم بيانية، مخططات);إرشادات خطوة بخطوة","مهم جدًا","الخصوصية البيانات;الموثوقية","",""
"2024/06/04 12:14:41 AM GMT+3","Arabic","","","","","","","","","","","","","","طالب","ذكاء اصطناعي","","ساعات الدوام الشخصي;دعم من طلاب","راضٍ","معلومات غير دقيقة","تقديم نصائح واستراتيجيات دراسية","أسبوعيًا","استجابات نصية;مساعدات بصرية (رسوم بيانية، مخططات)","مهم","الخصوصية البيانات","",""
"2024/06/04 1:16:09 AM GMT+3","English","Student","Artificial Intelligence","","In-person office hours;Online forums","Neutral","Inaccurate information;Lack of resources","Providing academic resources","Monthly","Text-based responses;Visual aids (diagrams, charts);Step-by-step guides","Neutral","Accuracy of information;Reliability","","","طالب","ذكاء اصطناعي","","ساعات الدوام الشخصي;دعم من طلاب","محايد","معلومات غير دقيقة","توفير الموارد الأكاديمية","شهريًا","استجابات نصية;مساعدات بصرية (رسوم بيانية، مخططات);إرشادات خطوة بخطوة","محايد","دقة المعلومات","",""
"2024/06/04 4:47:52 AM GMT+3","Arabic","","","","","","","","","","","","","","طالب","هندسة برمجيات","","ساعات الدوام الشخصي","راضٍ","نقص الموارد","توفير الموارد الأكاديمية","يوميًا","استجابات نصية;روابط للموارد;مساعدات بصرية (رسوم بيانية، مخططات);إرشادات خطوة بخطوة","مهم جدًا","الخصوصية البيانات;دقة المعلومات;سهولة الاستخدام;الموثوقية","",""
"2024/06/04 4:13:32 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","امن سبراني","","ساعات الدوام الشخصي","راضٍ","","تقديم نصائح واستراتيجيات دراسية","شهريًا","استجابات نصية","مهم جدًا","الموثوقية","",""
